Date,file,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,ROItotal,ROIcover
2016-02-14 00:00:00,2016/5070/20160214/GUAM5070__0__20160214_000000.wav,10036.703333333335,-5.427602811636234e-19,1.4984789964274453e-05,-0.013659412500710883,5.566179995752299,44.77710651322614,-40.556357716093814,1.2991895273971323,0.009379552404615615,0.9760991668769536,0.14005333333333334,3939,5.543873512061754,0.11356444444444444,0.03134253296534805,3.623462167543735,8.246314023016036e-05,2.2772617848860297e-08,4.419134889631306,25.974309369005518,12,44.80162221305487,-48.19837778694513,-52.728301390102956,4.529923603157826,0.6095874433728025,0.0510472328042153,0.5630546626184523,0.3230368848769467,1,32.13713391716791,4.840650373870183,298.33222863332855,0.7113139818152341,5.927942033964225,0.0602086266544675,0.35691324875227676,35.17838259062236,0.5850589631930174,2.047353883174084,0.13294076622902296,0.13314305047344444,0.17099071459048706,0.13330556119729914,0.14258638918272648,4010.099609375,8.691264746753255,0.014342315504551274,0.05414767161392657,0.2120137744517388,0.7307015789776939,0.3322928652180261,2.8847361337789597,4.780576589782389,11936.625957226186,0.9566324557735465,0.3048134779237304,1.2648307014315994,2573,3.3563762822678136
2016-02-14 00:10:00,2016/5070/20160214/GUAM5070__0__20160214_001000.wav,10039.27,4.87511265924291e-19,1.218852434956395e-05,0.029550550011962155,5.031758034175921,43.88011120602249,-40.99798214204035,1.2217421141289009,0.008914580126868354,0.9760131808529998,0.13941333333333333,3921,5.385523234278233,0.11125333333333333,0.05095572519083969,2.1834109657232257,8.250937342868396e-05,1.7544804208579074e-08,3.410557184692539,16.543512895910236,15,43.95815312624335,-49.04184687375665,-53.40196463555533,4.3601177617986835,0.6702039610071515,0.20084667504469467,0.5871604763546582,0.3894735342278386,1,40.579535347586294,5.658615811614332,299.9176712435873,0.5807916671542392,3.770897530645841,0.07166324293790899,0.270234745832634,35.67273811554405,0.44619352027549175,2.0624909597298684,0.0968541115537187,0.1364606095085401,0.183560812320946,0.13478096168884104,0.14687147209678564,4130.61328125,11.905131595477558,0.019826746617657518,0.05509256007908497,0.25589059249768875,0.7000140366328927,0.33287269739845154,3.292145133703285,5.166787175026876,15063.064149515058,0.9721506554386596,0.34765803671202045,1.3271194242929463,1884,4.910132915837007
2016-02-14 00:20:00,2016/5070/20160214/GUAM5070__0__20160214_002000.wav,9457.49,6.858788228727678e-19,3.152723973067285e-05,0.032173299625156145,5.244196074163767,48.00745940438915,-38.77377758131126,2.0772400630444636,0.011516250974867078,0.9683010955556419,0.2514488888888889,7072,5.767454259273745,0.2370488888888889,0.026338765432098763,9.000320011378182,9.990998553822504e-05,4.995780368110056e-08,6.339031326937079,56.72137088364432,12,47.8698531490803,-45.13014685091968,-51.79302694702219,6.662880096102512,0.5243270728897458,0.14113108173351818,0.6541349102382455,0.33370305917768894,1,49.6808864371721,6.3550093755808,302.26866685416695,0.8674647959007157,14.090330252947474,0.056635977393175,0.7980196256683029,38.43545101137282,1.6113075162722819,2.0329219525827056,0.1590003844750032,0.1405927429608272,0.17570935855497086,0.13494947611107452,0.1453905166628147,4088.962890625,10.81424229243064,0.01647523856403783,0.05622462707220673,0.23446979840788681,0.8174764233211488,0.3277477558575455,2.04447758275184,4.2208769341537575,7667.125361448743,0.9061639281132473,0.19038781912036024,1.3168195123770738,4338,4.54677277414308
2016-02-14 00:30:00,2016/5070/20160214/GUAM5070__0__20160214_003000.wav,10251.396666666667,1.7516852166308025e-19,1.1889241530028678e-05,-0.011843870916561312,4.058701856552831,43.7721414116701,-40.69254318414679,0.7967864722392193,0.009233637926313612,0.985301743740059,0.10563555555555555,2971,4.617243602732014,0.0679111111111111,0.02779445202364711,2.4434202104963734,7.902338062130323e-05,1.716794790125633e-08,3.766029686361274,19.848874562846706,9,43.78720396277749,-49.2127960372225,-52.96380969558043,3.7510136583579268,0.6516536953054105,0.10704433352225229,0.7258909789658279,0.5110165101893857,1,31.00836325273848,4.876625274834893,298.1153140928734,0.7592564462932936,7.307595236533578,0.039537055424590864,0.28892079788730424,34.26721677032847,0.44500795756726574,2.0698787572856148,0.07428971936100948,0.1358184317933998,0.1693500213340919,0.1348374098696877,0.14326627446753662,4029.220703125,9.405116599649098,0.014186198842625515,0.0529904385583951,0.2233296833052573,0.7336787493401997,0.33269725465145145,3.1307879999785735,5.0485182054975715,14371.056910884035,0.9672421602908206,0.2979271582098466,1.2623208917582778,3136,3.253719854483715
2016-02-14 00:40:00,2016/5070/20160214/GUAM5070__0__20160214_004000.wav,10877.753333333334,-2.808864252301646e-19,1.3574083589178406e-05,-0.010430597898339793,3.526774212914019,44.347705105761584,-39.74438247590672,0.6013140013460117,0.010298663690355089,0.9883378045710731,0.08707555555555556,2449,4.102655026649677,0.05184,0.03246764091858038,1.5967234390556109,8.212199612474012e-05,2.00163072036127e-08,3.558678170306615,16.56773583678528,12,44.36761416780311,-48.63238583219689,-51.77623043314494,3.14384460094805,0.647480849813975,0.005816639489534481,0.2992503064194936,0.27980773086312194,1,55.620288940360105,6.473588080136692,296.0637856040695,0.7779610475169567,8.007428550865354,0.041709699417437136,0.3339874379631982,36.08028895381519,0.4395491114947275,2.0734173877343913,0.05843291205900969,0.13356111247591831,0.16180181644553712,0.13481015425295537,0.14105605699313753,3967.060546875,6.853045015609254,0.011602773654174371,0.05316099709784719,0.19224674379622556,0.7232875998249895,0.33289078544385475,3.3121747929468413,5.024261525332418,13216.580389579043,0.9705869405029268,0.29274278628202866,1.2338622276127842,2113,2.5289024165303657
2016-02-14 00:50:00,2016/5070/20160214/GUAM5070__0__20160214_005000.wav,10614.043333333335,-1.2567647539935617e-18,8.868452620007108e-06,0.010383537308605117,3.782876587936847,42.499078414622495,-41.807717940272504,0.6776170715020626,0.008121085876888699,0.9872968936314885,0.08135111111111111,2288,4.501613637232987,0.04967111111111111,0.03348614232209738,1.4833860759493671,7.101115661323557e-05,1.2172217043793636e-08,4.091882229527584,22.789252065293752,12,42.45171977955964,-50.548280220440354,-53.77488492886248,3.2266047084221228,0.6531516475875145,0.03907334856674294,0.5585609958477133,0.3071708520180563,1,103.23916720058601,8.797065972151419,297.266327204744,0.837217548641582,11.28633666166113,0.01933326558656681,0.21820174417930047,32.123817755675105,0.2953499926036473,2.074738994257017,0.051856313945144006,0.1309762394245398,0.15892933336042425,0.1327307028850001,0.1388518119533139,3905.068359375,8.124667521851528,0.01024015576109373,0.054885304902215756,0.15953608437155534,0.7097127274183729,0.3326314350053961,3.0815548538788744,5.05667234671695,16965.708728254478,0.9649284136733277,0.3192030334378807,1.2418105593037294,1761,2.1995226496942113
2016-02-14 01:00:00,2016/5070/20160214/GUAM5070__0__20160214_010000.wav,10861.283333333335,-2.9042740434803707e-19,1.4101903193144242e-05,0.004784563283032052,3.87216592368921,44.5133772033105,-39.65742878194394,0.6785410314543867,0.010402280510796441,0.9866756742245872,0.07893333333333333,2220,4.694992705949019,0.05105777777777777,0.03907482993197279,1.3067131275778694,8.85726895301218e-05,1.9583703605391957e-08,3.3924315429120995,15.705732563355703,21,44.474771635950894,-48.52522836404909,-51.60917359412913,3.0839452300800403,0.6719445949326533,0.06463293379449575,0.45144006684454163,0.1697346201643728,1,42.312108377956285,5.556553629699504,297.936689502999,0.900667704494138,19.134438551074986,0.0189811578441026,0.36319379839623617,36.815840851297246,0.49553677690295955,2.0671091650622717,0.08301694824914119,0.1327099037595411,0.16132941869679174,0.13577641428980164,0.14108209958576307,3967.79296875,9.679013660529332,0.012723924628431233,0.06117949166039399,0.18581399468962237,0.7611368852260574,0.332954705578795,3.390172362432822,5.178267118768862,15690.887882192013,0.9733057672749131,0.2728587789349822,1.2665145574547658,1712,2.8811927201856067
2016-02-14 01:10:00,2016/5070/20160214/GUAM5070__0__20160214_011000.wav,10605.516666666668,-9.29935141237416e-19,1.3154051771591454e-05,0.016936369085786995,4.392683424161975,44.21119538146641,-40.29952402535866,0.9399626974954742,0.00966103818681505,0.9825632359860337,0.10712888888888888,3013,5.08699158129647,0.07715555555555555,0.043921568627450974,1.7567291281467787,8.686958632514112e-05,1.79734153176668e-08,3.0393791944211994,12.540759210334675,16,44.161462122597904,-48.83853787740208,-52.56799540057692,3.729457523174837,0.6879529355061881,0.15578484905979528,0.6373455597749537,0.23959162551658097,1,60.128084165526424,6.740934748849232,300.2421273751022,0.8808053505351654,15.779276661995233,0.02126306625136613,0.33551580506264006,37.23956316825042,0.5047715132318334,2.0668037355516877,0.08365067783986868,0.1380929907810864,0.1715733384806063,0.13806228890732375,0.14536357126031146,4088.205078125,10.870158045662023,0.017626182264258286,0.05839258389311891,0.2389362618563987,0.7594730690941531,0.3330797610613363,3.590624695130974,5.280367088382711,16192.190484265231,0.9776456840505755,0.2739386514357198,1.308517391949088,2057,4.197947871479875
2016-02-14 01:20:00,2016/5070/20160214/GUAM5070__0__20160214_012000.wav,10565.226666666667,-8.127314407888362e-19,1.1531271093458673e-05,0.00040397763494175507,3.684649589540332,43.63937173596543,-40.421523385512316,0.5717902261487993,0.009526290713416206,0.9882908860576334,0.06734222222222222,1894,4.434218341559628,0.03530666666666667,0.03180780780780781,1.1100394680699759,8.123484122402994e-05,1.5726724267182746e-08,3.5238488540221176,17.418206875265305,16,43.58077451827552,-49.41922548172448,-52.458479498936285,3.039254017211803,0.6728551203723623,0.03475634777515091,0.39819486625503364,0.1993398539602873,1,27.50180046612586,4.562632490503114,297.69203352349825,0.8950334023493804,18.053680358936504,0.016260869078735973,0.2935685327060136,34.400060466813926,0.4022368824262664,2.076828155116036,0.03843490032588415,0.13422160734065158,0.16387630290346833,0.13652476774617356,0.14262451553833025,4011.171875,8.709130310671307,0.013677500200007112,0.059932483555626546,0.2076254415591776,0.7488417528808771,0.3328582873175339,3.2767432972932267,5.183097971929273,16633.117674374265,0.9717097802030502,0.2812968659596915,1.2596549134679,1957,3.050289010275921
2016-02-14 01:30:00,2016/5070/20160214/GUAM5070__0__20160214_013000.wav,10692.806666666667,1.0105265389902405e-18,1.1694284356131102e-05,0.027189972920849473,4.842448844765379,43.70033641184725,-40.97651781685268,1.1183494071978544,0.008936636827256945,0.9792136319798815,0.11445333333333334,3219,5.519519607464227,0.08675555555555556,0.05848689138576779,1.4833860759493671,8.391923049773828e-05,1.5588797026848347e-08,2.9874813430174925,11.902615331834458,19,43.639782013577914,-49.360217986422086,-53.38107747763382,4.020859491211738,0.6957325634445798,0.12080701725896104,0.49798624670473346,0.17188802250502144,1,37.66168746813885,5.3443727074097795,300.5913653061931,0.915869922421499,22.77271075417493,0.013226028905708941,0.3011925306960665,36.04959177792042,0.4701626128474191,2.0738951022589585,0.05554647457381412,0.13522797308887483,0.17737748135806733,0.14049467975895522,0.14824360421703883,4169.203125,10.877124509470491,0.021680631978025888,0.06184409489396208,0.2851244421825552,0.7657802519329633,0.33311930756157926,3.6754009163839427,5.329527511269005,17553.389746313416,0.9788617281939528,0.2699493077509289,1.3220623697437222,2325,5.309806848687954
